"country","Date","flu_cases","dengue_cases","life_expectancy"
Ukraine,"2015-05-03","299",,
Japan,"2012-01-15","598",,
Uruguay,"2014-12-14","75",,
Japan,"2008-07-13","2",,
Germany,"2012-12-16","1042",,
Peru,"2006-09-10","364",,
Spain,"2005-12-25","26",,
Canada,"2008-09-07","914",,
France,"2004-03-28","15",,
Austria,"2015-04-26","710",,
Japan,"2014-06-01","14",,
Argentina,"2013-09-01","178","0.031",
Paraguay,"2004-10-03",NA,,
Netherlands,"2010-04-11","16",,
Russia,"2012-08-05","214",,
Uruguay,"2013-08-25","141",,
New Zealand,"2011-07-31","76",,
Romania,"2011-08-28","483",,
Poland,"2012-06-03","12",,
Hungary,"2015-07-26","25",,
Japan,"2006-05-28","6",,
Austria,"2012-12-30","1118",,
Paraguay,"2013-04-14","224",,
Paraguay,"2011-02-27","133",,
Uruguay,"2007-01-21","72",,
United States,"2008-08-03","648",,
Hungary,"2010-07-18","44",,
Brazil,"2011-10-23","136","0.097",
Bolivia,"2006-02-19","250","0.016",
Mexico,"2010-10-24","1111","0.221",
South Africa,"2009-08-02","5780",,
Bulgaria,"2004-01-25",NA,,
France,"2012-04-29","6",,
Sweden,"2005-10-23",NA,,
Belgium,"2004-01-11","68",,
South Africa,"2004-06-13",NA,,
Hungary,"2004-05-30",NA,,
Bolivia,"2014-09-28","199","0.011",
Hungary,"2011-05-08","31",,
Ukraine,"2004-04-11",NA,,
Paraguay,"2008-07-20","452",,
Norway,"2005-01-02","14",,
Hungary,"2015-01-25","538",,
Bolivia,"2006-11-19","389","0.014",
France,"2012-10-07","43",,
Brazil,"2010-04-11","210","0.62",
Bolivia,"2006-03-05","373","0.012",
United States,"2007-03-11","2086",,
Switzerland,"2004-04-11","12",,
Sweden,"2010-07-04","1",,
Canada,"2014-09-21","1750",,
France,"2013-05-05","8",,
Uruguay,"2006-07-30","183",,
Norway,"2015-02-01","353",,
Australia,"2015-03-15","329",,
Bulgaria,"2013-11-10","401",,
South Africa,"2007-01-07","2046",,
